2023-09-06 08:07:55.684  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCFluenceNormalization.8.1.17.3475 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.684  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.FieldVolumeDose.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.684  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.FieldVolumeDose.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.684  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.LMCMonitorUnits.10.0.28.9901x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='0.5' ExpectedMemoryUsageInMB='50'
2023-09-06 08:07:55.684  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise LMCMSS.OptimalFluenceToLeafMotions.15.1.61.99312 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='100'
2023-09-06 08:07:55.684  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCFluenceNormalization.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.684  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.LMCCBSF.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.684  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.LMCCBSF.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.684  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.LMCMonitorUnits.11.0.31.62671x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='0.5' ExpectedMemoryUsageInMB='50'
2023-09-06 08:07:55.684  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCMonitorUnits.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='0.80' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.684  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise LMCMSS.OptimalFluenceToLeafMotions.15.6.06.111663 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='100'
2023-09-06 08:07:55.684  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.LMCCBSF.11.0.32.88619 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.699  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.LMCMonitorUnits.13.6.23.82217x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='0.5' ExpectedMemoryUsageInMB='50'
2023-09-06 08:07:55.699  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.LMCCBSF.11.0.32.88619 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.699  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCMonitorUnits.11.0.32.88619 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='0.80' ExpectedMemoryUsageInMB='12'
2023-09-06 08:07:55.699  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise LMCMSS.OptimalFluenceToLeafMotionsAndActualFluence.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='100'
2023-09-06 08:07:55.699  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.LMCCBSF.8.1.17.3475 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.LMCCBSF.8.1.17.3475 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.LMCMonitorUnits.15.1.61.110305x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='0.5' ExpectedMemoryUsageInMB='50'
2023-09-06 08:07:55.699  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCMonitorUnits.8.1.17.3475 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0x1104  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p1716@zvar-imx-9 sent command: advertise LMCV.LeafMotionsToActualFluence.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='100'
2023-09-06 08:07:55.699  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.LMCCBSF.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0xf04  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p8948@zvar-imx-2 sent command: advertise PBC.LMCCBSF.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0x2260  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5720@zvar-imx-4 sent command: advertise PBC.LMCMonitorUnits.8.1.18.4797 AvailableAddressSpaceInMB=2048
2023-09-06 08:07:55.699  0xc90  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p3764@zvar-imx-7 sent command: advertise AcurosXB.LMCMonitorUnits.15.6.06.111663x64 AvailableAddressSpaceInMB=8388608 ExpectedProcessorUsage='0.5' ExpectedMemoryUsageInMB='50'
2023-09-06 08:07:55.699  0x488  AgentConnection::ProcessCommandsUntilReadyForCall:78	VCAgent_p5660@zvar-imx-8 sent command: advertise PBC.LMCFluenceNormalization.10.0.28.9833 AvailableAddressSpaceInMB=4096 ExpectedProcessorUsage='1' ExpectedMemoryUsageInMB='12'
